"3DBB47A7-60DD-4C8E-9F3D-0072348DD1B8","ABD","FOR ABDOMINAL","PARA ABDOMINAL","000235","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"9A4B5761-A404-4860-A262-008F069B2C8D","MAY","MAY","PUEDE","000469","","","","","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"589FD398-AD15-427B-93E5-012412FFF666","CRS","CRAMPS","CALAMBRES","000527","","","","","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"0A8F3377-475C-4939-805F-012BC0101426","COM","CORNER OF MOUTH","ESQUINA DE LA BOCA ","000571","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"C29945AA-EEE7-4164-946F-0139E2893E4D","OEM","OF EACH MONTH","DE CADA MES","000334","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"BF1695EB-BE1C-4242-9758-017C6D644A81","SWEL","FOR SWELLING","PARA LA HINCHAZON","000338","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"30D98552-E4F9-417C-85E7-02DC41E3B505","AX","FOR ANXIETY","PARA LA ANSIEDAD","000025","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"E451C250-F888-40B9-8189-034356599439","LEFT","LEFT","IZQUIERDA","000453","","","","","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"911D3B2C-D942-486C-A3E8-0394AC3EE430","PNG","PER N.G. TUBE","POR N.G. TUBO","000293","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"98EC9747-B185-4FAD-8374-0498D1BBFE3E","SQUIRT","SQUIRT","CHORRO","000754","","","","","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"16158D82-2D10-4FF0-81D5-04F695FF77B9","SW","SWALLOW","TRAGARSE","000383","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"C13A8F0C-B798-4031-8029-050B4B9FB566","CH","CHEW","MASTIQUE","000116","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"7101134B-215D-4D2C-8A9C-0538F3EC9A96","CN","FOR CONGESTION","PARA LA CONGESTIÓN","000060","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"19E85BFC-10F0-4B28-A9CE-0571A3AFD1A8","TO","TO","A","000105","","","","","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
"7BF12A85-1581-4049-9AD9-0577B8CA6224","INC","INCREASE","AUMENTAR","000399","","","","0","","","","2DBD3435-FE93-4D79-8AAF-6D258A98FED7","30-Oct-2017 11:27:08","","0","","","","",""
